NME, 76Ge, 82Se, 96Zr, 100Mo, 110Pd, 116Cd, 124Sn, 128Te, 130Te, 134Xe, 136Xe, 148Nd, 150Nd, 154Sm, 160Gd, 198Pt, 232Th, 238U
M_F, -0.780, -0.667, -0.361, -0.511, -0.425, -0.335, -0.572, -0.718, -0.651, -0.686, -0.522, -0.363, -0.507, -0.340, -0.415, -0.329, -0.444, -0.525
M_{GT}^{AA}, 6.062, 4.928, 4.317, 5.553, 4.432, 3.173, 3.370, 4.321, 3.894, 4.211, 3.203, 2.517, 3.753, 2.984, 4.224, 2.270, 4.169, 4.962
M_{GT}^{AP},-1.0655969820282767,-0.8879974850235639,-0.7991977365212075,-1.124796814363181,-0.9471973173584682,-0.6807980718513991,-0.6215982395164948,-0.7991977365212075,-0.7103979880188512,-0.7695978203537555,-0.5623984071815905,-0.5919983233490427,-0.9471973173584682,-0.6511981556839469,-0.8879974850235639,-0.6215982395164948,-0.9471973173584682,-1.124796814363181
M_{GT}^{PP},0.22341953446564963,0.2694176739144598,0.20370604613044524,0.3088446505848686,0.2562753483576569,0.19056372057364232,0.16427906946003648,0.20370604613044524,0.18399255779524085,0.19713488335204377,0.14456558112483212,0.17085023223843793,0.2694176739144598,0.1774213950168394,0.23656186002245255,0.1774213950168394,0.2562753483576569,0.3022734878064671
M_{GT}^{MM},0.12610112473745536,0.10343125961611507,0.09209632705544493,0.13601919072804175,0.11334932560670145,0.08217826106485855,0.0750939282144397,0.09493006019561247,0.08642886077510986,0.09067946048536116,0.06800959536402088,0.0750939282144397,0.11759992531695276,0.07934452792469102,0.10484812618619883,0.07651079478452348,0.11193245903661768,0.13176859101779043
M_T^{AA}, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
M_T^{AP},-0.29599916167452134,-0.29599916167452134,0.26639924550706917,0.3551989940094256,0.26639924550706917,0.14799958083726067,-0.14799958083726067,-0.14799958083726067,-0.1775994970047128,-0.14799958083726067,-0.14799958083726067,0.14799958083726067,0.14799958083726067,0.14799958083726067,0.26639924550706917,0.14799958083726067,0.26639924550706917,0.26639924550706917
M_T^{PP},0.0657116277840146,0.0657116277840146,-0.0657116277840146,-0.1314232555680292,-0.0657116277840146,-0.0657116277840146,0.0657116277840146,0.0657116277840146,0.0657116277840146,0.0657116277840146,0.0657116277840146,-0.0657116277840146,-0.0657116277840146,-0.0657116277840146,-0.0657116277840146,-0.0657116277840146,-0.0657116277840146,-0.0657116277840146
M_T^{MM},-0.024795164976465944,-0.02408673169142406,0.02266986512134029,0.029045764686717247,0.025503598261507825,0.016293965555963335,-0.012751799130753912,-0.016293965555963335,-0.014877098985879567,-0.016293965555963335,-0.011334932560670145,0.009918065990586377,0.01912769869613087,0.012751799130753912,0.01912769869613087,0.009918065990586377,0.02266986512134029,0.025503598261507825
M_{Fsd}, -48.89, -41.22, -35.31, -51.96, -43.52, -32.45, -33.19, -41.82, -38.05, -39.45, -29.83, -31.71, -30.18, -31.83, -41.43, -31.87, -44.04, -52.48
M^{AA}_{GTsd}, 170.0, 140.7, 124.3, 181.9, 151.2, 110.5, 104.2, 131.7, 119.7, 124.7, 94.18, 103.0, 100.0, 107.1, 142.9, 104.4, 154.2, 183.1
M^{AP}_{GTsd},-62.455823113323994,-52.03665262238085,-45.080672323029596,-67.2806094486187,-56.00304138881943,-40.67028481407923,-39.101489257204264,-49.3430602511427,-44.81427307752253,-46.294268885895136,-34.839101329091164,-39.841487161390575,-38.24309168834816,-40.1374863230651,-52.56945111339499,-39.48628816738115,-56.23984071815905,-66.74781095760456
M^{PP}_{GTsd},18.399255779524086,15.770790668163503,13.142325556802918,19.056372057364232,15.770790668163503,11.170976723282482,11.828093001122626,15.113674390323355,13.799441834643066,13.799441834643066,10.513860445442335,11.828093001122626,11.170976723282482,11.828093001122626,15.113674390323355,11.170976723282482,15.770790668163503,19.056372057364232
M^{AP}_{Tsd},-38.77589017936229,-36.970295293147714,32.26390862252283,47.063866706248895,40.1374863230651,24.952729329162146,-21.40073938906789,-26.3439253890324,-23.88713234713387,-24.360731005813104,-18.351948023820324,15.095957245400587,17.19755129328969,19.772743999858026,30.280714239303528,18.529547520825034,35.075900658430776,41.23268322126082
M^{PP}_{Tsd},14.45655811248321,13.799441834643066,-12.485209278962772,-17.74213950168394,-15.113674390323355,-9.856744167602189,7.8853953340817515,9.856744167602189,9.199627889762043,9.199627889762043,7.228279056241605,-5.914046500561313,-6.571162778401459,-7.8853953340817515,-11.828093001122626,-7.228279056241605,-13.799441834643066,-15.770790668163503
